aanname laboratoriumonderzoek	aanname laboratoriumonderzoek
aanname laboratoriumonderzoek	ordertarief
aanname laboratoriumonderzoek	ligdagen - alle spec.beh.kinderg.-reval.
aanname laboratoriumonderzoek	190205 klasse 3b        a205
aanname laboratoriumonderzoek	natrium vlamfotometrisch
ordertarief	aanname laboratoriumonderzoek
ordertarief	ordertarief
ordertarief	ligdagen - alle spec.beh.kinderg.-reval.
ordertarief	190205 klasse 3b        a205
ordertarief	natrium vlamfotometrisch
ligdagen - alle spec.beh.kinderg.-reval.	aanname laboratoriumonderzoek
ligdagen - alle spec.beh.kinderg.-reval.	ordertarief
ligdagen - alle spec.beh.kinderg.-reval.	ligdagen - alle spec.beh.kinderg.-reval.
ligdagen - alle spec.beh.kinderg.-reval.	190205 klasse 3b        a205
ligdagen - alle spec.beh.kinderg.-reval.	natrium vlamfotometrisch
190205 klasse 3b        a205	aanname laboratoriumonderzoek
190205 klasse 3b        a205	ordertarief
190205 klasse 3b        a205	ligdagen - alle spec.beh.kinderg.-reval.
190205 klasse 3b        a205	190205 klasse 3b        a205
190205 klasse 3b        a205	natrium vlamfotometrisch
natrium vlamfotometrisch	aanname laboratoriumonderzoek
natrium vlamfotometrisch	ordertarief
natrium vlamfotometrisch	ligdagen - alle spec.beh.kinderg.-reval.
natrium vlamfotometrisch	190205 klasse 3b        a205
natrium vlamfotometrisch	natrium vlamfotometrisch
